Attribute,Unsociable,Sociable,Immoral,Moral,Dependent,Independent,Unable,Able
bright,False,False,False,False,False,False,False,True
brilliant,False,False,False,False,False,False,False,True
brisk,False,False,False,False,False,True,False,False
broad-minded,False,False,False,False,False,False,False,True
brutal,False,False,True,False,False,False,False,False
buffoonish,False,True,False,False,False,False,False,False
bum,False,False,False,False,True,False,False,False
bumbling,False,False,False,False,False,False,True,False
bungled,False,False,True,False,False,False,False,False
bungling,False,False,True,False,False,False,True,False
burlesque,False,True,False,False,False,False,False,False
buttery,False,False,True,False,False,False,False,False
cagey,False,False,False,False,True,False,False,False
calculating,False,False,True,False,False,False,False,False
callous,True,False,False,False,False,False,False,False
candid,False,True,False,True,False,False,False,False
cantankerous,True,False,False,False,False,False,False,False
canty,False,False,False,False,False,True,False,False
capable,False,False,False,False,False,False,False,True
captivated,False,True,False,False,False,False,False,False
carefree,False,True,False,False,False,False,False,False
careful,False,False,False,False,False,True,False,False
careless,True,False,False,False,True,False,False,False
caring,False,True,False,True,False,False,False,False
causeless,False,False,False,False,True,False,False,False
caustic,True,False,False,False,False,False,False,False
cautious,False,False,False,False,True,False,False,False
cavalier,False,False,True,False,False,False,False,False
ceaseless,False,False,False,False,False,True,False,False
cerebral,False,False,False,False,False,False,False,True
certain,False,False,False,False,False,True,False,False
champion,False,False,False,False,False,False,False,True
charitable,False,False,False,True,False,False,False,False
charming,False,True,False,False,False,False,False,False
chaste,False,False,False,True,False,False,False,False
cheap,False,False,True,False,False,False,False,False
cheating,False,False,True,False,False,False,False,False
cheerful,False,True,False,False,False,False,False,False
cheery,False,True,False,False,False,False,False,False
childlike,False,False,False,False,False,False,True,False
chilly,True,False,False,False,False,False,False,False
chummy,False,True,False,False,False,False,False,False
churlish,True,False,False,False,False,False,False,False
civil,False,True,False,False,False,False,False,False
civilized,False,False,False,False,False,False,False,True
clannish,False,False,True,False,False,False,False,False
clean,False,False,False,True,False,False,False,False
clement,False,False,False,True,False,False,False,False
clever,False,False,False,False,False,False,False,True
cloddish,False,False,False,False,False,False,True,False
close,False,True,False,False,False,False,False,False
clubbable,False,True,False,False,False,False,False,False
clubbish,False,True,False,False,False,False,False,False
clueless,False,False,False,False,False,False,True,False
clunky,False,False,False,False,False,False,True,False
cocksure,False,False,False,False,False,True,False,False
cocky,False,False,False,False,False,True,False,False
coherent,False,False,False,False,False,False,False,True
cold,True,False,False,False,False,False,False,False
coldhearted,False,False,True,False,False,False,False,False
collaborative,False,True,False,False,False,False,False,False
collateral,False,True,False,False,False,False,False,False
comic,False,True,False,False,False,False,False,False
commanding,False,False,False,False,False,True,False,False
committed,False,False,False,True,False,True,False,False
communal,False,True,False,False,False,False,False,False
commutative,False,False,False,False,False,True,False,False
companionable,False,True,False,False,False,False,False,False
companionate,False,True,False,False,False,False,False,False
compassionate,False,False,False,True,False,False,False,False
compelling,False,False,False,False,False,False,False,True
competent,False,False,False,False,False,False,False,True
competitive,False,False,False,False,False,False,False,True
complaisant,False,False,False,False,True,False,False,False
complete,False,False,False,False,False,False,False,True
compromising,False,False,False,False,True,False,False,False
compulsive,False,False,False,False,False,True,False,False
comradely,False,True,False,False,False,False,False,False
conceited,True,False,False,False,False,False,False,False
concrete,False,False,False,False,False,False,False,True
condemnable,False,False,True,False,False,False,False,False
confederate,False,False,True,False,False,False,False,False
confident,False,False,False,False,False,True,False,False
conformist,False,False,False,False,True,False,False,False
confounding,True,False,False,False,False,False,False,False
confused,False,False,False,False,False,False,True,False
congenial,False,True,False,False,False,False,False,False
conquerable,False,False,False,False,True,False,False,False
conscienceless,False,False,True,False,False,False,False,False
conscientious,False,False,False,True,False,True,False,False
consecutive,False,False,False,False,False,True,False,False
considerate,False,True,False,True,False,False,False,False
consistent,False,False,False,False,False,False,False,True
conspiratorial,False,False,True,False,False,False,False,False
constant,False,False,False,False,False,True,False,False
consummate,False,False,False,False,False,False,False,True
consumptive,False,False,True,False,False,False,False,False
contemptuous,False,False,True,False,False,False,False,False
continual,False,False,False,False,False,True,False,False
continuous,False,False,False,False,False,True,False,False
contradictory,True,False,False,False,False,False,False,False
controlled,False,False,False,False,True,False,False,False
controlling,False,False,False,False,False,True,False,False
convinced,False,False,False,False,False,True,False,False
convivial,False,True,False,False,False,False,False,False
convolute,False,False,True,False,False,False,False,False
cooperative,False,True,False,True,False,False,False,False
cordial,False,True,False,False,False,False,False,False
corked,False,False,True,False,False,False,False,False
correct,False,False,False,True,False,False,False,False
corrupt,False,False,True,False,False,False,False,False
corrupted,False,False,True,False,False,False,False,False
corruptible,False,False,True,False,False,False,False,False
corruptive,False,False,True,False,False,False,False,False
counterfeit,False,False,True,False,False,False,False,False
courteous,False,True,False,False,False,False,False,False
covetous,False,False,True,False,False,False,False,False
cowardly,False,False,False,False,True,False,False,False
coy,True,False,False,False,False,False,False,False
cozy,False,True,False,False,False,False,False,False
crabbed,True,False,False,False,False,False,False,False
crafty,False,False,True,False,False,False,False,False
cranky,True,False,False,False,False,False,False,False
crass,True,False,False,False,False,False,False,False
creative,False,False,False,False,False,False,False,True
creditworthy,False,False,False,True,False,False,False,False
credulous,False,False,False,False,False,False,True,False
criminal,False,False,True,False,False,False,False,False
cringing,False,False,False,False,True,False,False,False
critical,True,False,False,False,False,False,False,True
crooked,False,False,True,False,False,False,False,False
cruddy,False,False,True,False,False,False,False,False
crude,False,False,False,False,False,False,True,False
crusty,True,False,False,False,False,False,False,False
cumbersome,False,False,False,False,False,False,True,False
cunning,False,False,True,False,False,False,False,True
curious,False,False,False,False,False,False,False,True
cutthroat,False,False,True,False,False,False,False,False
cutting,False,False,True,False,False,False,False,False
dangerous,False,False,True,False,False,False,False,False
daredevil,False,False,False,False,False,True,False,False
dark,False,False,True,False,False,False,False,False
dazed,False,False,False,False,False,False,True,False
dead,True,False,False,False,False,False,False,False
dear,False,True,False,False,False,False,False,False
debased,False,False,True,False,False,False,False,False
debauched,False,False,True,False,False,False,False,False
decadent,False,False,True,False,False,False,False,False
deceitful,False,False,True,False,False,False,False,False
decent,False,False,False,True,False,False,False,False
deceptive,False,False,True,False,False,False,False,False
decisive,False,False,False,False,False,True,False,False
dedicated,False,False,False,False,False,True,False,False
defenseless,False,False,False,False,True,False,False,False
delinquent,False,False,True,False,False,False,False,False
demonic,False,False,True,False,False,False,False,False
dense,False,False,False,False,False,False,True,False
dependable,False,False,False,True,False,False,False,False
dependent,False,False,False,False,True,False,False,False
deplorable,False,False,True,False,False,False,False,False
depraved,False,False,True,False,False,False,False,False
derelict,False,False,False,False,False,False,True,False
desk-bound,False,False,False,False,True,False,False,False
desolate,False,False,True,False,False,False,False,False
despicable,False,False,True,False,False,False,False,False
destructive,False,False,True,False,False,False,False,False
detached,True,False,False,False,False,False,False,False
determined,False,False,False,False,False,True,False,False
devilish,False,False,True,False,False,False,False,False
devious,False,False,True,False,False,False,False,False
devoted,False,False,False,False,False,True,False,False
dictatorial,False,False,True,False,False,True,False,False
difficult,True,False,False,False,False,False,False,False
diffident,True,False,False,False,True,False,False,False
diligent,False,False,False,False,False,True,False,False
dim,False,False,False,False,False,False,True,False
direct,False,False,False,False,False,True,False,False
dirty,False,False,True,False,False,False,False,False
disabled,False,False,False,False,False,False,True,False
disagreeable,True,False,False,False,False,False,False,False
discerning,False,False,False,False,False,False,False,True
discouraging,True,False,False,False,False,False,False,False
discourteous,True,False,False,False,False,False,False,False
discriminate,False,False,True,False,False,False,False,True
discriminating,False,False,False,False,False,False,False,True
discriminative,False,False,False,False,False,False,False,True
discriminatory,False,False,True,False,False,False,False,True
disdainful,False,False,True,False,False,False,False,False
disgraceful,False,False,True,False,False,False,False,False
dishonest,False,False,True,False,False,False,False,False
dishonorable,False,False,True,False,False,False,False,False
disingenuous,False,False,True,False,False,False,False,False
dislikable,True,False,False,False,False,False,False,False
disliked,True,False,False,False,False,False,False,False
disloyal,False,False,True,False,False,False,False,False
disobedient,False,False,True,False,False,False,False,False
displeasing,True,False,False,False,False,False,False,False
disreputable,False,False,True,False,False,False,False,False
disrespectful,True,False,True,False,False,False,False,False
dissipated,False,False,True,False,False,False,False,False
distant,True,False,False,False,False,False,False,False
distressing,False,False,True,False,False,False,False,False
distrustful,True,False,False,False,False,False,False,False
doglike,False,False,False,True,False,False,False,False
dominant,False,False,False,False,False,True,False,False
dominated,False,False,False,False,True,False,False,False
domineering,True,False,True,False,False,True,False,False
dormant,False,False,False,False,True,False,False,False
double,False,False,True,False,False,False,False,False
doubtful,False,False,False,False,True,False,False,False
doubting,False,False,False,False,True,False,False,False
dour,True,False,False,False,False,False,False,False
downright,False,False,False,True,False,False,False,False
dreadful,True,False,True,False,False,False,False,False
dreamy,False,False,False,False,True,False,False,False
driven,False,False,False,False,False,True,False,False
driving,False,False,False,False,False,True,False,False
droll,False,True,False,False,False,False,False,False
dry,True,False,False,False,False,False,False,False
dull,True,False,False,False,False,False,True,False
dumb,False,False,False,False,False,False,True,False
duplicate,False,False,True,False,False,False,False,False
dutiful,False,False,False,True,False,False,False,False
dynamic,False,False,False,False,False,True,False,False
dyspeptic,True,False,False,False,False,False,False,False
earnest,False,False,False,True,False,False,False,False
easy,False,False,True,False,False,False,False,False
easygoing,False,True,False,False,False,False,False,False
eclectic,False,False,False,False,False,False,False,True
edged,False,False,True,False,False,False,False,False
educated,False,False,False,False,False,False,False,True
effective,False,False,False,False,False,False,False,True
efficacious,False,False,False,False,False,False,False,True
efficient,False,False,False,False,False,False,False,True
effortful,False,False,False,False,False,True,False,False
egoistic,False,False,True,False,False,False,False,False
egotistic,False,False,True,False,False,False,False,False
eloquent,False,False,False,False,False,False,False,True
embarrassing,True,False,False,False,False,False,False,False
emboldened,False,False,False,False,False,True,False,False
empathic,False,True,False,False,False,False,False,False
emphatic,False,False,False,False,False,True,False,False
empty,False,False,True,False,False,False,False,False
enamored,False,True,False,False,False,False,False,False
endangered,False,False,True,False,False,False,False,False
endless,False,False,False,False,False,True,False,False
energetic,False,False,False,False,False,True,False,False
enjoyable,False,True,False,False,False,False,False,False
enlightened,False,False,False,False,False,False,False,True
enterprising,False,False,False,False,False,True,False,False
entertaining,False,True,False,False,False,False,False,False
epicurean,False,False,False,True,False,False,False,False
equable,False,False,False,True,False,False,False,False
equitable,False,False,False,True,False,False,False,False
erudite,False,False,False,False,False,False,False,True
estimable,False,False,False,True,False,False,False,False
ethical,False,False,False,True,False,False,False,False
evasive,True,False,False,False,False,False,False,False
evil,False,False,True,False,False,False,False,False
